  0.250000000  0.250000000  0.250000000       4
       1       5    6.963706410    8.880832570
       1       6   10.100405036   12.068596036
       1       7   10.100405036   12.068596036
       1       8   11.573187728   13.423005108
  0.250000000  0.250000000 -0.250000000       4
       1       5    7.747556140    9.473014585
       1       6   10.220083998   11.958416734
       1       7   11.995732337   13.966109640
       1       8   12.721293356   15.071185356
  0.250000000 -0.250000000  0.250000000       4
       1       5    7.747556140    9.473014585
       1       6   10.220083998   11.958416734
       1       7   11.995732337   13.966109640
       1       8   12.721293356   15.071185356
  0.250000000 -0.250000000 -0.250000000       4
       1       5    7.747556140    9.473014585
       1       6   10.220083998   11.958416734
       1       7   11.995732337   13.966109640
       1       8   12.721293356   15.071185356
 -0.250000000  0.250000000  0.250000000       4
       1       5    7.747556140    9.473014585
       1       6   10.220083998   11.958416734
       1       7   11.995732337   13.966109640
       1       8   12.721293356   15.071185356
 -0.250000000  0.250000000 -0.250000000       4
       1       5    7.747556140    9.473014585
       1       6   10.220083998   11.958416734
       1       7   11.995732337   13.966109640
       1       8   12.721293356   15.071185356
 -0.250000000 -0.250000000  0.250000000       4
       1       5    7.747556140    9.473014585
       1       6   10.220083998   11.958416734
       1       7   11.995732337   13.966109640
       1       8   12.721293356   15.071185356
 -0.250000000 -0.250000000 -0.250000000       4
       1       5    6.963706410    8.880832570
       1       6   10.100405036   12.068596036
       1       7   10.100405036   12.068596036
       1       8   11.573187728   13.423005108
