# neig  =     1024
# vol   =  0.195105171E+05
# nspin =        1
#   ik    ic    iv    is        eig (eV)   abs(dipole)^2      Re(dipole)      Im(dipole)
     1     1     1     1  0.25881175E+01  0.23585315E-11  0.10235736E-07  0.15357170E-05
     1     1     2     1  0.25881175E+01  0.40678846E-11 -0.13988852E-07  0.20168512E-05
     1     1     3     1  0.25885154E+01  0.52218143E+03  0.19649416E+00  0.22850445E+02
     1     1     4     1  0.16349140E+02  0.24346708E-06 -0.49342358E-03  0.49654115E-06
     1     2     1     1  0.46279284E+01  0.28059532E+00  0.52970935E+00  0.18248585E-02
     1     2     2     1  0.46279284E+01  0.36712722E+01 -0.19160446E+01 -0.67333863E-02
     1     2     3     1  0.46283264E+01  0.46849476E+00 -0.68446391E+00  0.19768984E-02
     1     2     4     1  0.18388951E+02  0.16407801E-02 -0.40506480E-01 -0.72041238E-04
     1     3     1     1  0.46279284E+01  0.37878522E+01 -0.19462284E+01 -0.68712738E-02
     1     3     2     1  0.46279284E+01  0.27671788E+00 -0.52603637E+00 -0.18997580E-02
     1     3     3     1  0.46283264E+01  0.18022989E-01 -0.13424913E+00  0.40036520E-03
     1     3     4     1  0.18388951E+02  0.63115667E-04 -0.79445256E-02 -0.13396204E-04
     1     4     1     1  0.46279284E+01  0.64955987E-03 -0.25486317E-01 -0.86821714E-04
     1     4     2     1  0.46279284E+01  0.12106450E+00  0.34794109E+00  0.12249254E-02
     1     4     3     1  0.46283264E+01  0.15778269E+02 -0.39721705E+01  0.11403519E-01
     1     4     4     1  0.18388951E+02  0.55258884E-01 -0.23507170E+00 -0.42186956E-03
     2     1     1     1  0.34295539E+01  0.47673667E+02  0.66227692E+01  0.19525866E+01
     2     1     2     1  0.34355836E+01  0.97566124E-15 -0.29872260E-07 -0.91273947E-08
     2     1     3     1  0.71990939E+01  0.83362017E-01  0.23330932E+00 -0.17008463E+00
     2     1     4     1  0.15654405E+02  0.94995533E-02  0.96230838E-01 -0.15465418E-01
     2     2     1     1  0.59736624E+01  0.23720255E+00 -0.23235642E+00 -0.42803393E+00
     2     2     2     1  0.59796921E+01  0.41231390E+01 -0.78375075E+00 -0.18731988E+01
     2     2     3     1  0.97432024E+01  0.23319333E-02 -0.22335058E-01 -0.42814466E-01
     2     2     4     1  0.18198513E+02  0.21138357E-02 -0.38007462E-01 -0.25870224E-01
     2     3     1     1  0.59736624E+01  0.45101626E+01 -0.10137120E+01 -0.18661593E+01
     2     3     2     1  0.59796921E+01  0.21684476E+00  0.17985286E+00  0.42953197E+00
     2     3     3     1  0.97432024E+01  0.44340467E-01 -0.97450846E-01 -0.18666494E+00
     2     3     4     1  0.18198513E+02  0.40193520E-01 -0.16576504E+00 -0.11276290E+00
     2     4     1     1  0.76584262E+01  0.42202603E-01 -0.16434934E+00  0.12325542E+00
     2     4     2     1  0.76644559E+01  0.66580469E-12  0.80893992E-06  0.10686858E-06
     2     4     3     1  0.11427966E+02  0.21953293E-01  0.14512783E+00 -0.29853054E-01
     2     4     4     1  0.19883277E+02  0.12079844E-02  0.26198800E-01 -0.22838723E-01
     3     1     1     1  0.32579642E+01  0.92323076E-11 -0.30384020E-05  0.20509609E-07
     3     1     2     1  0.32580656E+01  0.59169820E+02  0.76921061E+01  0.36386662E-01
     3     1     3     1  0.93359378E+01  0.30964936E-01  0.12586999E-02  0.17596406E+00
     3     1     4     1  0.13817993E+02  0.15669865E-01 -0.12795895E-02  0.12517279E+00
     3     2     1     1  0.62701434E+01  0.49165188E+01 -0.22172775E+01  0.14114371E-01
     3     2     2     1  0.62702449E+01  0.77279300E+00  0.87906971E+00  0.54266415E-02
     3     2     3     1  0.12348117E+02  0.91495895E-02 -0.25729684E-04  0.95653483E-01
     3     2     4     1  0.16830172E+02  0.78818605E-02 -0.55276558E-03  0.88778122E-01
     3     3     1     1  0.62701434E+01  0.10842633E+01  0.10412585E+01 -0.66417265E-02
     3     3     2     1  0.62702449E+01  0.35041873E+01  0.18719119E+01  0.11538419E-01
     3     3     3     1  0.12348117E+02  0.41488133E-01 -0.53082080E-04  0.20368635E+00
     3     3     4     1  0.16830172E+02  0.35739985E-01 -0.11735139E-02  0.18904658E+00
     3     4     1     1  0.90646103E+01  0.57519245E-13 -0.16535508E-06  0.17371511E-06
     3     4     2     1  0.90647118E+01  0.12395887E-01 -0.20560523E-02  0.11131783E+00
     3     4     3     1  0.15142584E+02  0.22807244E-03 -0.15098335E-01 -0.33572183E-03
     3     4     4     1  0.19624639E+02  0.21330913E-04 -0.46149245E-02 -0.18271403E-03
     4     1     1     1  0.34313330E+01  0.76073851E-15 -0.25532394E-07  0.10432418E-07
     4     1     2     1  0.34375412E+01  0.47460298E+02  0.66129311E+01 -0.19311762E+01
     4     1     3     1  0.72096360E+01  0.77817346E-01  0.22805920E+00  0.16064354E+00
     4     1     4     1  0.15651237E+02  0.95459414E-02  0.96302013E-01  0.16488287E-01
     4     2     1     1  0.59754416E+01  0.41429998E+01  0.77522191E+00 -0.18820284E+01
     4     2     2     1  0.59816498E+01  0.23577234E+00 -0.23395054E+00  0.42548735E+00
     4     2     3     1  0.97537445E+01  0.23027251E-02 -0.21290043E-01  0.43005339E-01
     4     2     4     1  0.18195345E+02  0.21133107E-02 -0.38089617E-01  0.25738916E-01
     4     3     1     1  0.59754416E+01  0.21786276E+00 -0.17785602E+00  0.43154374E+00
     4     3     2     1  0.59816498E+01  0.44834244E+01 -0.10205898E+01  0.18552145E+01
     4     3     3     1  0.97537445E+01  0.43790266E-01 -0.92881951E-01  0.18751856E+00
