  0.001000000  0.000000000  0.000000000       4
       1       1  -12.735443376  -12.008405640
       1       2   -0.355305394    1.752218703
       1       3   -0.354907694    1.752616681
       1       4   -0.354907694    1.752616681
  0.001000000  0.000000000  0.250000000       4
       1       1  -12.102845506  -11.125568150
       1       2   -4.304328967   -2.670257427
       1       3   -0.915533699    1.093252877
       1       4   -0.909500009    1.099282596
  0.001000000  0.000000000  0.500000000       4
       1       1  -11.144904922   -9.945074774
       1       2   -6.675275481   -5.463019592
       1       3   -1.295195170    0.614852590
       1       4   -1.295094713    0.614954064
  0.001000000  0.000000000 -0.250000000       4
       1       1  -12.099767419  -11.122400221
       1       2   -4.314646336   -2.680799471
       1       3   -0.917487389    1.091295235
       1       4   -0.911283134    1.097503442
  0.001000000  0.250000000  0.000000000       4
       1       1  -12.102845506  -11.125568151
       1       2   -4.304328967   -2.670257427
       1       3   -0.915533699    1.093252877
       1       4   -0.909500009    1.099282596
  0.001000000  0.250000000  0.250000000       4
       1       1  -11.886946717  -10.831262660
       1       2   -4.285721702   -2.588206884
       1       3   -1.835428834    0.014374391
       1       4   -1.835405217    0.014400475
  0.001000000  0.250000000  0.500000000       4
       1       1  -10.858285328   -9.560607076
       1       2   -6.335884339   -4.985977664
       1       3   -3.353011099   -1.772232758
       1       4   -2.128350277   -0.377284322
  0.001000000  0.250000000 -0.250000000       4
       1       1  -11.235451312  -10.012016034
       1       2   -5.748457155   -4.343917574
       1       3   -3.486194881   -1.959605199
       1       4   -1.378310431    0.531735980
  0.001000000  0.500000000  0.000000000       4
       1       1  -11.144904922   -9.945074774
       1       2   -6.675275481   -5.463019592
       1       3   -1.295195170    0.614852590
       1       4   -1.295094713    0.614954064
  0.001000000  0.500000000  0.250000000       4
       1       1  -10.858285328   -9.560607076
       1       2   -6.335884339   -4.985977664
       1       3   -3.353011099   -1.772232758
       1       4   -2.128350277   -0.377284322
  0.001000000  0.500000000  0.500000000       4
       1       1  -10.420106348   -9.056138095
       1       2   -6.842103958   -5.517140782
       1       3   -2.705009786   -1.112923350
       1       4   -2.704954466   -1.112867457
  0.001000000 -0.500000000 -0.250000000       4
       1       1  -10.853156895   -9.555268589
       1       2   -6.340780219   -4.990735481
       1       3   -3.361888037   -1.781898176
       1       4   -2.131422522   -0.380356537
  0.001000000 -0.250000000  0.000000000       4
       1       1  -12.099767419  -11.122400221
       1       2   -4.314646336   -2.680799471
       1       3   -0.917487389    1.091295235
       1       4   -0.911283134    1.097503442
  0.001000000 -0.250000000  0.250000000       4
       1       1  -11.235451312  -10.012016034
       1       2   -5.748457155   -4.343917575
       1       3   -3.486194881   -1.959605199
       1       4   -1.378310431    0.531735980
  0.001000000 -0.250000000 -0.500000000       4
       1       1  -10.853156895   -9.555268589
       1       2   -6.340780219   -4.990735481
       1       3   -3.361888037   -1.781898175
       1       4   -2.131422521   -0.380356537
  0.001000000 -0.250000000 -0.250000000       4
       1       1  -11.880554507  -10.824678722
       1       2   -4.301064509   -2.603904136
       1       3   -1.842007136    0.007796101
       1       4   -1.841983268    0.007822424
  0.251000000  0.000000000  0.000000000       4
       1       1  -12.096693171  -11.119235812
       1       2   -4.324946568   -2.691327748
       1       3   -0.916191801    1.092594775
       1       4   -0.916191800    1.092594776
  0.251000000  0.000000000  0.250000000       4
       1       1  -11.880554507  -10.824678722
       1       2   -4.301064509   -2.603904136
       1       3   -1.842007136    0.007796101
       1       4   -1.841983268    0.007822424
  0.251000000  0.000000000  0.500000000       4
       1       1  -10.853635494   -9.555774030
       1       2   -6.338398806   -4.988088720
       1       3   -3.361021917   -1.781543787
       1       4   -2.134057838   -0.382989945
  0.251000000  0.000000000 -0.250000000       4
       1       1  -11.230986442  -10.007390002
       1       2   -5.755042535   -4.350569682
       1       3   -3.492110468   -1.965792335
       1       4   -1.382401584    0.527647193
  0.251000000  0.250000000  0.000000000       4
       1       1  -11.880554507  -10.824678722
       1       2   -4.301064509   -2.603904136
       1       3   -1.842007136    0.007796101
       1       4   -1.841983268    0.007822424
  0.251000000  0.250000000  0.250000000       4
       1       1  -12.099767419  -11.122400221
       1       2   -4.314646336   -2.680799470
       1       3   -0.917487389    1.091295235
       1       4   -0.911283134    1.097503442
  0.251000000  0.250000000  0.500000000       4
       1       1  -11.235451312  -10.012016034
       1       2   -5.748457155   -4.343917574
       1       3   -3.486194881   -1.959605199
       1       4   -1.378310431    0.531735980
  0.251000000  0.250000000 -0.250000000       4
       1       1  -10.853156895   -9.555268589
       1       2   -6.340780219   -4.990735481
       1       3   -3.361888037   -1.781898176
       1       4   -2.131422522   -0.380356537
  0.251000000  0.500000000  0.000000000       4
       1       1  -10.853635494   -9.555774030
       1       2   -6.338398806   -4.988088720
       1       3   -3.361021917   -1.781543786
       1       4   -2.134057838   -0.382989945
  0.251000000  0.500000000  0.250000000       4
       1       1  -11.235451312  -10.012016034
       1       2   -5.748457155   -4.343917575
       1       3   -3.486194881   -1.959605199
       1       4   -1.378310431    0.531735980
  0.251000000  0.500000000  0.500000000       4
       1       1  -10.857804648   -9.560099529
       1       2   -6.338314088   -4.988670647
       1       3   -3.353785908   -1.772500416
       1       4   -2.125651827   -0.374583934
 -0.749000000 -0.500000000 -0.250000000       4
       1       1  -10.396946326   -9.003350651
       1       2   -6.644230609   -5.256677443
       1       3   -3.679821941   -2.184632563
       1       4   -3.393175126   -1.844240862
  0.251000000 -0.250000000  0.000000000       4
       1       1  -11.230986442  -10.007390002
       1       2   -5.755042535   -4.350569682
       1       3   -3.492110468   -1.965792335
       1       4   -1.382401584    0.527647193
  0.251000000 -0.250000000  0.250000000       4
       1       1  -10.853156895   -9.555268589
       1       2   -6.340780219   -4.990735480
       1       3   -3.361888037   -1.781898176
       1       4   -2.131422522   -0.380356538
  0.251000000  0.750000000  0.500000000       4
       1       1  -10.396946326   -9.003350651
       1       2   -6.644230609   -5.256677443
       1       3   -3.679821941   -2.184632563
       1       4   -3.393175126   -1.844240862
  0.251000000 -0.250000000 -0.250000000       4
       1       1  -10.852693565   -9.554778575
       1       2   -6.343162792   -4.993382694
       1       3   -3.362692894   -1.782195080
       1       4   -2.128719157   -0.377651264
  0.501000000  0.000000000  0.000000000       4
       1       1  -11.144935410   -9.945105465
       1       2   -6.675237213   -5.462982137
       1       3   -1.295066873    0.614981904
       1       4   -1.295066873    0.614981904
  0.501000000  0.000000000  0.250000000       4
       1       1  -10.852693565   -9.554778575
       1       2   -6.343162792   -4.993382694
       1       3   -3.362692894   -1.782195080
       1       4   -2.128719157   -0.377651264
  0.501000000  0.000000000  0.500000000       4
       1       1  -10.420106348   -9.056138095
       1       2   -6.842103958   -5.517140782
       1       3   -2.705009786   -1.112923350
       1       4   -2.704954466   -1.112867457
 -0.499000000  0.000000000 -0.250000000       4
       1       1  -10.858781218   -9.561129988
       1       2   -6.333455781   -4.983285160
       1       3   -3.352174542   -1.771907236
       1       4   -2.130981328   -0.379913435
  0.501000000  0.250000000  0.000000000       4
       1       1  -10.852693565   -9.554778575
       1       2   -6.343162791   -4.993382694
       1       3   -3.362692894   -1.782195080
       1       4   -2.128719157   -0.377651264
  0.501000000  0.250000000  0.250000000       4
       1       1  -11.230986442  -10.007390002
       1       2   -5.755042535   -4.350569683
       1       3   -3.492110468   -1.965792335
       1       4   -1.382401584    0.527647193
  0.501000000  0.250000000  0.500000000       4
       1       1  -10.853156895   -9.555268589
       1       2   -6.340780219   -4.990735481
       1       3   -3.361888037   -1.781898175
       1       4   -2.131422522   -0.380356538
 -0.499000000 -0.750000000 -0.250000000       4
       1       1  -10.396946326   -9.003350651
       1       2   -6.644230609   -5.256677442
       1       3   -3.679821941   -2.184632563
       1       4   -3.393175126   -1.844240862
  0.501000000  0.500000000  0.000000000       4
       1       1  -10.420106348   -9.056138095
       1       2   -6.842103958   -5.517140782
       1       3   -2.705009786   -1.112923350
       1       4   -2.704954466   -1.112867457
  0.501000000  0.500000000  0.250000000       4
       1       1  -10.853156895   -9.555268589
       1       2   -6.340780219   -4.990735481
       1       3   -3.361888037   -1.781898176
       1       4   -2.131422522   -0.380356537
  0.501000000  0.500000000  0.500000000       4
       1       1  -11.144904922   -9.945074774
       1       2   -6.675275481   -5.463019592
       1       3   -1.295195171    0.614852590
       1       4   -1.295094713    0.614954064
 -0.499000000 -0.500000000 -0.250000000       4
       1       1  -10.858285328   -9.560607076
       1       2   -6.335884339   -4.985977664
       1       3   -3.353011099   -1.772232759
       1       4   -2.128350278   -0.377284322
 -0.499000000 -0.250000000  0.000000000       4
       1       1  -10.858781218   -9.561129988
       1       2   -6.333455781   -4.983285159
       1       3   -3.352174542   -1.771907234
       1       4   -2.130981328   -0.379913435
  0.501000000  0.750000000  0.250000000       4
       1       1  -10.396946326   -9.003350651
       1       2   -6.644230609   -5.256677443
       1       3   -3.679821941   -2.184632563
       1       4   -3.393175126   -1.844240862
 -0.499000000 -0.250000000 -0.500000000       4
       1       1  -10.858285328   -9.560607076
       1       2   -6.335884339   -4.985977663
       1       3   -3.353011099   -1.772232758
       1       4   -2.128350278   -0.377284322
 -0.499000000 -0.250000000 -0.250000000       4
       1       1  -11.239932886  -10.016658092
       1       2   -5.741836416   -4.337233027
       1       3   -3.480269117   -1.953409260
       1       4   -1.374127338    0.535921439
 -0.249000000  0.000000000  0.000000000       4
       1       1  -12.105927414  -11.128739586
       1       2   -4.293994321   -2.659701486
       1       3   -0.910586356    1.098200220
       1       4   -0.910586356    1.098200220
 -0.249000000  0.000000000  0.250000000       4
       1       1  -11.239932886  -10.016658092
       1       2   -5.741836416   -4.337233027
       1       3   -3.480269117   -1.953409261
       1       4   -1.374127338    0.535921439
 -0.249000000  0.000000000 -0.500000000       4
       1       1  -10.857804648   -9.560099529
       1       2   -6.338314088   -4.988670647
       1       3   -3.353785908   -1.772500416
       1       4   -2.125651827   -0.374583934
 -0.249000000  0.000000000 -0.250000000       4
       1       1  -11.886946717  -10.831262660
       1       2   -4.285721702   -2.588206884
       1       3   -1.835428835    0.014374391
       1       4   -1.835405217    0.014400475
 -0.249000000  0.250000000  0.000000000       4
       1       1  -11.239932886  -10.016658092
       1       2   -5.741836416   -4.337233027
       1       3   -3.480269117   -1.953409261
       1       4   -1.374127338    0.535921439
 -0.249000000  0.250000000  0.250000000       4
       1       1  -10.858781218   -9.561129988
       1       2   -6.333455781   -4.983285160
       1       3   -3.352174542   -1.771907235
       1       4   -2.130981328   -0.379913435
  0.751000000  0.250000000  0.500000000       4
       1       1  -10.396946326   -9.003350651
       1       2   -6.644230609   -5.256677443
       1       3   -3.679821941   -2.184632563
       1       4   -3.393175126   -1.844240862
 -0.249000000  0.250000000 -0.250000000       4
       1       1  -10.858285328   -9.560607076
       1       2   -6.335884339   -4.985977663
       1       3   -3.353011099   -1.772232759
       1       4   -2.128350278   -0.377284322
 -0.249000000 -0.500000000  0.000000000       4
       1       1  -10.857804648   -9.560099529
       1       2   -6.338314088   -4.988670647
       1       3   -3.353785908   -1.772500417
       1       4   -2.125651827   -0.374583934
  0.751000000  0.500000000  0.250000000       4
       1       1  -10.396946326   -9.003350651
       1       2   -6.644230609   -5.256677443
       1       3   -3.679821941   -2.184632563
       1       4   -3.393175126   -1.844240862
 -0.249000000 -0.500000000 -0.500000000       4
       1       1  -10.853635494   -9.555774030
       1       2   -6.338398806   -4.988088720
       1       3   -3.361021917   -1.781543786
       1       4   -2.134057838   -0.382989945
 -0.249000000 -0.500000000 -0.250000000       4
       1       1  -11.235451312  -10.012016034
       1       2   -5.748457155   -4.343917575
       1       3   -3.486194881   -1.959605199
       1       4   -1.378310431    0.531735980
 -0.249000000 -0.250000000  0.000000000       4
       1       1  -11.886946717  -10.831262660
       1       2   -4.285721702   -2.588206884
       1       3   -1.835428835    0.014374391
       1       4   -1.835405218    0.014400474
 -0.249000000 -0.250000000  0.250000000       4
       1       1  -10.858285328   -9.560607076
       1       2   -6.335884339   -4.985977664
       1       3   -3.353011099   -1.772232758
       1       4   -2.128350278   -0.377284322
 -0.249000000 -0.250000000 -0.500000000       4
       1       1  -11.235451312  -10.012016034
       1       2   -5.748457155   -4.343917575
       1       3   -3.486194881   -1.959605198
       1       4   -1.378310431    0.531735980
 -0.249000000 -0.250000000 -0.250000000       4
       1       1  -12.102845506  -11.125568151
       1       2   -4.304328967   -2.670257427
       1       3   -0.915533699    1.093252877
       1       4   -0.909500010    1.099282596
