# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       2    -0.58870     0.00059     0.00059   -1.584206952   -1.495750237    0.088456715
     1       2    -0.44168     0.14762    -0.14644   -1.053256386   -0.851870481    0.201385905
     1       2    -0.14762     0.14762    -0.14644    1.207737236    1.695998341    0.488261105
     1       2    -0.00059     0.29465    -0.29347   -0.382898870   -0.091503565    0.291395305
     1       2    -0.44168    -0.14644     0.14762   -1.053256386   -0.851870481    0.201385905
     1       2    -0.29465     0.00059     0.00059    1.340379772    1.818731718    0.478351945
     1       2    -0.14762     0.14762     0.14762    1.196220579    1.684338637    0.488118058
     1       2    -0.00059     0.29465     0.00059    1.340379772    1.818731718    0.478351945
     1       2     0.14644     0.44168    -0.14644   -1.050052143   -0.848626905    0.201425238
     1       2    -0.29465     0.00059     0.29465   -0.390475993   -0.099105514    0.291370478
     1       2    -0.00059     0.00059     0.29465    1.340379772    1.818731718    0.478351945
     1       2     0.14644     0.14762     0.14762    1.207737236    1.695998341    0.488261105
     1       2     0.29347     0.29465     0.00059   -0.382898870   -0.091503566    0.291395305
     1       2    -0.14762    -0.14644     0.44168   -1.053256386   -0.851870481    0.201385905
     1       2     0.14644    -0.14644     0.44168   -1.050052143   -0.848626905    0.201425238
     1       2     0.29347     0.00059     0.29465   -0.382898870   -0.091503566    0.291395305
     1       2     0.44050     0.14762     0.14762   -1.050994754   -0.849635908    0.201358846
     1       2    -0.00059    -0.29347     0.58870   -1.425645491   -1.213295808    0.212349683
     1       2    -0.29465     0.29465     0.00059   -0.390475993   -0.099105514    0.291370478
     1       2    -0.14762     0.44168    -0.14644   -1.053256386   -0.851870481    0.201385905
     1       2    -0.58870     0.00059     0.29465   -1.425645491   -1.213295808    0.212349683
     1       2    -0.44168     0.14762     0.14762   -1.056459879   -0.855114693    0.201345186
     1       2     0.29347    -0.29347    -0.29347   -1.478019732   -1.375432785    0.102586947
     1       2    -0.14762     0.44168     0.14762   -1.056459879   -0.855114693    0.201345186
     1       2    -0.00059    -0.58753     0.00059   -1.584206952   -1.495750237    0.088456715
     1       2     0.14644    -0.44050    -0.14644   -1.044480008   -0.843048342    0.201431666
     1       2    -0.14762     0.14762     0.44168   -1.056459879   -0.855114693    0.201345186
     1       2    -0.00059     0.29465     0.29465   -0.390475993   -0.099105514    0.291370478
     1       2     0.14644     0.44168     0.14762   -1.053256386   -0.851870481    0.201385905
     1       2    -0.29465     0.00059     0.58870   -1.425645491   -1.213295808    0.212349683
     1       2    -0.00059     0.00059    -0.58753   -1.584206952   -1.495750237    0.088456715
     1       2     0.14644     0.14762     0.44168   -1.053256386   -0.851870481    0.201385905
     1       2    -0.29465    -0.29347    -0.29347   -1.478063602   -1.375474121    0.102589481
     1       2    -0.14762    -0.14644    -0.44050   -1.047737741   -0.846341792    0.201395949
     1       2     0.14644    -0.14644    -0.44050   -1.044480008   -0.843048342    0.201431666
     1       2    -0.29465     0.58870     0.00059   -1.425645491   -1.213295808    0.212349683
     1       2    -0.14762    -0.44050    -0.14644   -1.047737741   -0.846341792    0.201395949
     1       2    -0.00059    -0.29347    -0.29347   -0.375284977   -0.083868470    0.291416507
     1       2     0.14644    -0.14644    -0.14644    1.230818478    1.719356390    0.488537912
     1       2     0.29347     0.00059    -0.29347   -0.375284977   -0.083868470    0.291416507
     1       2    -0.14762    -0.44050     0.14762   -1.050994754   -0.849635908    0.201358846
     1       2    -0.00059    -0.29347     0.00059    1.357277757    1.835777116    0.478499359
     1       2     0.29347    -0.29347     0.00059   -0.375284977   -0.083868470    0.291416507
     1       2     0.44050    -0.14644    -0.14644   -1.044480008   -0.843048342    0.201431666
     1       2    -0.00059    -0.58753     0.29465   -1.425645491   -1.213295808    0.212349683
     1       2     0.14644    -0.44050     0.14762   -1.047737741   -0.846341792    0.201395949
     1       2    -0.14762     0.14762    -0.44050   -1.050994754   -0.849635908    0.201358846
     1       2     0.58753    -0.29347     0.00059   -1.425645491   -1.213295808    0.212349683
     1       2    -0.44168    -0.14644    -0.14644   -1.050052143   -0.848626905    0.201425238
     1       2    -0.29465     0.00059    -0.29347   -0.382898870   -0.091503566    0.291395305
     1       2    -0.00059     0.00059    -0.29347    1.357277757    1.835777116    0.478499359
     1       2     0.14644     0.14762    -0.44050   -1.047737741   -0.846341792    0.201395949
     1       2    -0.29465    -0.29347     0.00059   -0.382898870   -0.091503566    0.291395305
     1       2    -0.14762    -0.14644    -0.14644    1.219269831    1.707670889    0.488401058
     1       3    -0.00059     0.00059     0.00059    5.551595287    6.513131287    0.961536000
     1       3     0.14644     0.14762    -0.14644    4.689863385    5.577797885    0.887934500
     1       3    -0.29465    -0.29347     0.29465    4.144872351    4.959204332    0.814331980
     1       3    -0.14762    -0.14644     0.14762    4.687028032    5.574959074    0.887931042
